quote,digits,point,minDist,value,minSize,stepSize,maxSize,commission,leverage
Coffee_K1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Coffee_N1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Coffee_U1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Coffee_Z1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Coffee_Z9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Corn_H1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Corn_K1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Corn_N1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Corn_U1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Corn_U9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Corn_Z1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Corn_Z9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Cotton_H1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Cotton_K1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Cotton_N1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Cotton_Z1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Cotton_Z9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
DE30,2,0.01,0.0,0.01,1.0,1.0,250.0,7,100
DSHUSD,0,0.0,0.0,0.0,0.0,0.0,10.0,7,100
DXY_H1,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
DXY_M1,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
DXY_U0,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
DXY_U1,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
DXY_U9,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
DXY_Z1,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
DXY_Z9,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
EMCUSD,0,0.0,0.0,0.0,1.0,0.0,100.0,7,100
EOSUSD,0,0.0,0.0,0.0,1.0,0.0,100.0,7,100
ES35,2,0.01,0.0,0.01,1.0,1.0,250.0,7,100
ETHUSD,0,0.0,0.0,0.0,0.0,0.0,10.0,7,100
EURAUD,5,1e-05,0.0,0.75888,0.01,0.01,150.0,7,100
EURBOBL_H1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURBOBL_M1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURBOBL_U1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURBOBL_U9,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURBOBL_Z1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURBOBL_Z9,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURBUND_H1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURBUND_M1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURBUND_U1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURBUND_Z1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURBUND_Z9,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURCAD,5,1e-05,0.0,0.77874,0.01,0.01,150.0,7,100
EURCHF,5,1e-05,0.0,1.12604,0.01,0.01,150.0,7,100
EURDKK,5,1e-05,0.0,0.16445,0.01,0.01,50.0,7,100
EURGBP,5,1e-05,0.0,1.34678,0.01,0.01,150.0,7,100
EURHKD,5,1e-05,0.0,0.12897,0.01,0.01,50.0,7,100
EURJPY,3,0.001,0.0,0.964,0.01,0.01,150.0,7,100
